"Dataset","Sample","Length_of_benchmarking_reference","Distance_from_HXB2","Assembly","contigs_..._0_bp.","contigs_..._1000_bp.","contigs_..._5000_bp.","contigs_..._10000_bp.","contigs_..._25000_bp.","contigs_..._50000_bp.","Total_length_..._0_bp.","Total_length_..._1000_bp.","Total_length_..._5000_bp.","Total_length_..._10000_bp.","Total_length_..._25000_bp.","Total_length_..._50000_bp.","contigs","Largest_contig","Total_length","Reference_length","GC_...","Reference_GC_...","N50","NG50","N90","NG90","auN","auNG","L50","LG50","L90","LG90","total_reads","left","right","Mapped_...","Reference_mapped_...","Properly_paired_...","Reference_properly_paired_...","Avg_coverage_depth","Reference_avg_coverage_depth","Coverage_.._1x_...","Reference_coverage_.._1x_...","misassemblies","misassembled_contigs","Misassembled_contigs_length","local_misassemblies","scaffold_gap_ext_mis","scaffold_gap_loc_mis","structural_variations","unaligned_mis_contigs","unaligned_contigs","Unaligned_length","Genome_fraction_...","Duplication_ratio","N.s_per_100_kbp","mismatches_per_100_kbp","indels_per_100_kbp","Largest_alignment","Total_aligned_length","NA50","NGA50","NA90","NGA90","auNA","auNGA","LA50","LGA50","LA90","LGA90","ID","total_reads.1","left.1","right.1","mapped","Mapped_....1","properly_paired","Properly_paired_....1","singletons","Singletons_...","misjoint_mates","Misjoint_mates_...","Avg_coverage_depth.1","Coverage_.._1x_....1","Coverage_.._5x_...","Coverage_.._10x_...","reference_mapped","Reference_mapped_....1","reference_properly_paired","Reference_properly_paired_....1","reference_singletons","Reference_singletons_...","reference_misjoint_mates","Reference_misjoint_mates_...","Reference_avg_coverage_depth.1","Reference_coverage_.._1x_....1","Reference_coverage_.._5x_...","Reference_coverage_.._10x_...","Assembly.1","misassemblies.1","contig_misassemblies","c_relocations","c_translocations","c_inversions","scaffold_misassemblies","s_relocations","s_translocations","s_inversions","misassembled_contigs.1","Misassembled_contigs_length.1","local_misassemblies.1","scaffold_gap_ext_mis.1","scaffold_gap_loc_mis.1","structural_variations.1","unaligned_mis_contigs.1","mismatches","indels","indels_..._5_bp.","indels_.._5_bp.","Indels_length","fully_unaligned_contigs","Fully_unaligned_length","partially_unaligned_contigs","Partially_unaligned_length","N.s","pos_correct","poserr_major","poserr_ltr","poserr_unmapped","poserr_extramapped","Accuracy","Precision","Sensitivity","Specificity","F1score","User_time","System_time","Elapsed_time","MRSS","File_outputs","CPU_percentage"
"V2.371","SSNGS_HUN_PRRT","SSNGS_49.2021_PRRT",1013,NA,"vpipe_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,35.93,35.98,1013,1013,1013,1013,1013,1013,1,1,1,1,468155,271513,271513,27.06,27.06,21.67,21.68,17207,17209,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.004,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_49.2021_PRRT_vpipe_genome",468155,271513,271513,126696,27.06,101462,21.67,8806,1.88,0,0,17207,100,100,100,126699,27.06,101498,21.68,8803,1.88,0,0,17209,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126633,0,0,416330,63,0.975321,0.96,0.992126,0.958416,0.975799,30505.99,6351.21," 2;40;54",1188212,17777080," 381%"
"V272","SSNGS_HUN_PRRT","SSNGS_53.2019_PRRT",1013,NA,"shiver_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.31,37.31,1013,1013,1013,1013,1013,1013,1,1,1,1,624218,369081,369081,28.87,28.86,21.43,21.43,25410,25409,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_53.2019_PRRT_shiver_genome",624218,369081,369081,180182,28.87,133794,21.43,37948,6.08,0,0,25410,100,100,100,180178,28.86,133798,21.43,37944,6.08,0,0,25409,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180161,0,0,557980,21,0.987167,0.985437,0.983051,0.99,0.984242,2427.22,34.01," 38;58.39",1546928,13068304," 105%"
"V2.172","SSNGS_HUN_PRRT","SSNGS_53.2019_PRRT",1013,NA,"smaltalign_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.31,37.31,1013,1013,1013,1013,1013,1013,1,1,1,1,624223,369081,369081,28.86,28.86,21.43,21.43,25409,25409,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_53.2019_PRRT_smaltalign_genome",624223,369081,369081,180180,28.86,133798,21.43,37942,6.08,0,0,25409,100,100,100,180178,28.86,133798,21.43,37944,6.08,0,0,25409,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180166,0,0,557982,14,0.99309,0.983333,1,0.988333,0.991597,793.54,7.37," 5;01.94",1425684,1379024," 265%"
"V2.272","SSNGS_HUN_PRRT","SSNGS_53.2019_PRRT",1013,NA,"viralngs_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.31,37.31,1013,1013,1013,1013,1013,1013,1,1,1,1,624222,369081,369081,28.87,28.86,21.43,21.43,25410,25409,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_53.2019_PRRT_viralngs_genome",624222,369081,369081,180184,28.87,133794,21.43,37950,6.08,0,0,25410,100,100,100,180178,28.86,133798,21.43,37944,6.08,0,0,25409,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180166,0,0,557978,18,0.99309,0.992718,0.990315,0.995,0.991515,1111.57,32.77," 8;12.31",1428768,8413104," 232%"
"V2.372","SSNGS_HUN_PRRT","SSNGS_53.2019_PRRT",1013,NA,"vpipe_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.31,37.31,1013,1013,1013,1013,1013,1013,1,1,1,1,624228,369081,369081,28.86,28.86,21.43,21.43,25409,25409,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_53.2019_PRRT_vpipe_genome",624228,369081,369081,180175,28.86,133796,21.43,37939,6.08,0,0,25409,100,100,100,180178,28.86,133798,21.43,37944,6.08,0,0,25409,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180165,0,0,557987,10,0.99309,0.983333,1,0.988333,0.991597,26092.98,3923.55," 2;13;56",1189480,20139584," 373%"
"V273","SSNGS_HUN_PRRT","SSNGS_54.2017_PRRT",1013,NA,"shiver_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.31,37.2,1013,1013,1013,1013,1013,1013,1,1,1,1,563109,318801,318801,22.68,22.63,17.48,17.45,18057,18033,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.005,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_54.2017_PRRT_shiver_genome",563109,318801,318801,127695,22.68,98438,17.48,24745,4.39,0,0,18057,100,100,100,127461,22.63,98270,17.45,24683,4.38,0,0,18033,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127457,0,0,509907,238,0.997038,0.998403,0.99681,0.997409,0.997606,1584.17,27.18," 25;47.07",1554484,8741592," 104%"
"V2.173","SSNGS_HUN_PRRT","SSNGS_54.2017_PRRT",1013,NA,"smaltalign_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.22,37.2,1013,1013,1013,1013,1013,1013,1,1,1,1,563113,318801,318801,22.68,22.63,17.48,17.45,18055,18033,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.005,0,98.72,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_54.2017_PRRT_smaltalign_genome",563113,318801,318801,127691,22.68,98434,17.48,24747,4.39,0,0,18055,100,100,100,127461,22.63,98270,17.45,24683,4.38,0,0,18033,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,127457,0,0,509911,234,0.99309,0.996795,0.992026,0.994819,0.994404,989.33,7.56," 7;18.95",1425712,1443576," 227%"
"V2.273","SSNGS_HUN_PRRT","SSNGS_54.2017_PRRT",1013,NA,"viralngs_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.32,37.2,1013,1013,1013,1013,1013,1013,1,1,1,1,576042,318801,318801,17.02,22.63,10.17,17.45,13484,18033,94.97,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.005,5034.55,296.15,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_54.2017_PRRT_viralngs_genome",576042,318801,318801,98041,17.02,58574,10.17,35639,6.19,0,0,13484,94.97,94.97,94.97,127461,22.63,98270,17.45,24683,4.38,0,0,18033,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,51,97804,0,0,539561,237,0.879566,0.988395,0.814992,0.984456,0.893357,1021.52,30.56," 5;42.83",1174592,7722696," 306%"
"V2.373","SSNGS_HUN_PRRT","SSNGS_54.2017_PRRT",1013,NA,"vpipe_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.31,37.2,1013,1013,1013,1013,1013,1013,1,1,1,1,563108,318801,318801,22.68,22.63,17.48,17.45,18057,18033,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.005,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_54.2017_PRRT_vpipe_genome",563108,318801,318801,127692,22.68,98434,17.48,24748,4.39,0,0,18057,100,100,100,127461,22.63,98270,17.45,24683,4.38,0,0,18033,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127457,0,0,509910,235,0.998026,0.998405,0.998405,0.997409,0.998405,27100.76,4177.95," 2;19;11",1189752,19798872," 374%"
"V274","SSNGS_HUN_PRRT","SSNGS_6.2020_PRRT",1013,NA,"shiver_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,36.72,36.68,1013,1013,1013,1013,1013,1013,1,1,1,1,522986,311116,311116,30.77,30.51,25.15,25,22629,22524,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.007,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_6.2020_PRRT_shiver_genome",522986,311116,311116,160934,30.77,131506,25.15,21194,4.05,0,0,22629,100,100,100,159804,30.51,130988,25,20612,3.93,0,0,22524,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159761,0,0,461298,1173,0.987167,0.989114,0.990654,0.981132,0.989883,2304.71,30.71," 37;11.02",1649920,10536456," 104%"
"V2.174","SSNGS_HUN_PRRT","SSNGS_6.2020_PRRT",1013,NA,"smaltalign_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,36.72,36.68,1013,1013,1013,1013,1013,1013,1,1,1,1,522983,311116,311116,30.77,30.51,25.14,25,22629,22524,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.007,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_6.2020_PRRT_smaltalign_genome",522983,311116,311116,160933,30.77,131502,25.14,21201,4.05,0,0,22629,100,100,100,159804,30.51,130988,25,20612,3.93,0,0,22524,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159763,0,0,461299,1170,0.990128,0.987654,0.996885,0.978437,0.992248,958.85,7.68," 6;14.02",1425752,1430248," 258%"
"V2.274","SSNGS_HUN_PRRT","SSNGS_6.2020_PRRT",1013,NA,"viralngs_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,36.86,36.68,1013,1013,1013,1013,1013,1013,1,1,1,1,525708,311116,311116,29.73,30.51,24.22,25,21924,22524,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.007,98.72,2369.2,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_6.2020_PRRT_viralngs_genome",525708,311116,311116,156312,29.73,127320,24.22,20936,3.98,0,0,21924,100,100,100,159804,30.51,130988,25,20612,3.93,0,0,22524,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1,156270,0,0,465920,42,0.944719,0.991611,0.920561,0.986523,0.954766,981.55,28.62," 5;52.93",1128428,7301488," 286%"
"V2.374","SSNGS_HUN_PRRT","SSNGS_6.2020_PRRT",1013,NA,"vpipe_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,36.72,36.68,1013,1013,1013,1013,1013,1013,1,1,1,1,522990,311116,311116,30.77,30.51,25.15,25,22629,22524,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.007,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_6.2020_PRRT_vpipe_genome",522990,311116,311116,160930,30.77,131506,25.15,21198,4.05,0,0,22629,100,100,100,159804,30.51,130988,25,20612,3.93,0,0,22524,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159761,0,0,461302,1169,0.988154,0.990654,0.990654,0.983827,0.990654,28618.51,5197.87," 2;29;37",1179640,19064592," 376%"
"V275","SSNGS_HUN_PRRT","SSNGS_6.2021_PRRT",1013,NA,"shiver_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.81,38.2,1013,1013,1013,1013,1013,1013,1,1,1,1,956472,553734,553734,26,25.94,19.59,19.52,33285,33327,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.035,0,98.72,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_6.2021_PRRT_shiver_genome",956472,553734,553734,248698,26,187334,19.59,34810,3.64,0,0,33285,100,100,100,248123,25.94,186736,19.52,34997,3.66,0,0,33327,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,247899,0,0,858770,799,0.959526,0.92973,0.996139,0.921212,0.961789,3911.18,48.31," 1;02;02",1707424,18458744," 106%"
"V2.175","SSNGS_HUN_PRRT","SSNGS_6.2021_PRRT",1013,NA,"smaltalign_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.81,38.2,1013,1013,1013,1013,1013,1013,1,1,1,1,956417,553734,553734,26.01,25.94,19.59,19.52,33291,33327,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.035,0,98.72,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_6.2021_PRRT_smaltalign_genome",956417,553734,553734,248778,26.01,187342,19.59,34862,3.65,0,0,33291,100,100,100,248123,25.94,186736,19.52,34997,3.66,0,0,33327,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,247908,0,0,858690,870,0.960513,0.931408,0.996139,0.923232,0.962687,808.28,6.88," 5;05.98",1425732,1354016," 266%"
"V2.275","SSNGS_HUN_PRRT","SSNGS_6.2021_PRRT",1013,NA,"viralngs_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,38.1,38.2,1013,1013,1013,1013,1013,1013,1,1,1,1,956581,553734,553734,25.98,25.94,19.54,19.52,33253,33327,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.035,0,98.72,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_6.2021_PRRT_viralngs_genome",956581,553734,553734,248483,25.98,186872,19.54,34993,3.66,0,0,33253,100,100,100,248123,25.94,186736,19.52,34997,3.66,0,0,33327,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,247883,0,0,858985,600,0.95459,0.930657,0.984556,0.923232,0.956848,1563.51,43.61," 10;37.42",1410012,11861376," 252%"
"V2.375","SSNGS_HUN_PRRT","SSNGS_6.2021_PRRT",1013,NA,"vpipe_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.71,38.2,1013,1013,1013,1013,1013,1013,1,1,1,1,956467,553734,553734,26,25.94,19.59,19.52,33285,33327,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.035,0,98.72,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_6.2021_PRRT_vpipe_genome",956467,553734,553734,248703,26,187328,19.59,34815,3.64,0,0,33285,100,100,100,248123,25.94,186736,19.52,34997,3.66,0,0,33327,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,247906,0,0,858765,797,0.9615,0.933092,0.996139,0.925253,0.963585,36153.98,6558.16," 3;08;59",1461776,22008432," 376%"
"V276","SSNGS_HUN_PRRT","SSNGS_62.2019_PRRT",1013,NA,"shiver_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.71,37.23,1013,1013,1013,1013,1013,1013,1,1,1,1,533743,303757,303757,25.17,25.12,20.1,20.06,18129,18105,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.011,0,98.72,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_62.2019_PRRT_shiver_genome",533743,303757,303757,134365,25.17,107300,20.1,9677,1.81,0,0,18129,100,100,100,134113,25.12,107078,20.06,9701,1.82,0,0,18105,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,134066,0,0,473149,299,0.995064,0.995238,0.99682,0.992188,0.996029,1910.43,30.3," 30;50.49",1696180,8876992," 104%"
"V2.176","SSNGS_HUN_PRRT","SSNGS_62.2019_PRRT",1013,NA,"smaltalign_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.71,37.23,1013,1013,1013,1013,1013,1013,1,1,1,1,533745,303757,303757,25.17,25.12,20.1,20.06,18128,18105,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.011,0,98.72,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_62.2019_PRRT_smaltalign_genome",533745,303757,303757,134363,25.17,107300,20.1,9679,1.81,0,0,18128,100,100,100,134113,25.12,107078,20.06,9701,1.82,0,0,18105,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,134065,0,0,473151,298,0.99309,0.992089,0.99682,0.986979,0.994449,876.94,6.9," 5;42.30",1425704,1341912," 258%"
"V2.276","SSNGS_HUN_PRRT","SSNGS_62.2019_PRRT",1013,NA,"viralngs_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.61,37.23,1013,1013,1013,1013,1013,1013,1,1,1,1,533741,303757,303757,25.17,25.12,20.1,20.06,18128,18105,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.011,0,98.72,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_62.2019_PRRT_viralngs_genome",533741,303757,303757,134367,25.17,107302,20.1,9679,1.81,0,0,18128,100,100,100,134113,25.12,107078,20.06,9701,1.82,0,0,18105,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,134067,0,0,473147,300,0.995064,0.995238,0.99682,0.992188,0.996029,804.66,25.4," 5;52.07",1250336,5941192," 235%"
"V2.376","SSNGS_HUN_PRRT","SSNGS_62.2019_PRRT",1013,NA,"vpipe_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.71,37.23,1013,1013,1013,1013,1013,1013,1,1,1,1,533747,303757,303757,25.17,25.12,20.1,20.06,18128,18105,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.011,0,98.72,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_62.2019_PRRT_vpipe_genome",533747,303757,303757,134363,25.17,107300,20.1,9677,1.81,0,0,18128,100,100,100,134113,25.12,107078,20.06,9701,1.82,0,0,18105,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,134066,0,0,473151,297,0.995064,0.995238,0.99682,0.992188,0.996029,34065.79,7759.99," 3;03;07",1183120,18380184," 380%"
"V277","SSNGS_HUN_PRRT","SSNGS_63.2022_PRRT",1013,NA,"shiver_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.91,38.01,1013,1013,1013,1013,1013,1013,1,1,1,1,479475,265439,265439,22.7,22.64,18.63,18.56,15013,14988,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.008,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_63.2022_PRRT_shiver_genome",479475,265439,265439,108861,22.7,89318,18.63,9667,2.02,0,0,15013,100,100,100,108560,22.64,89020,18.56,9706,2.02,0,0,14988,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108554,0,0,422017,307,0.994077,0.998366,0.991883,0.997481,0.995114,1850.94,34.56," 29;46.62",1469152,10340160," 105%"
"V2.177","SSNGS_HUN_PRRT","SSNGS_63.2022_PRRT",1013,NA,"smaltalign_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.91,38.01,1013,1013,1013,1013,1013,1013,1,1,1,1,479475,265439,265439,22.7,22.64,18.63,18.56,15013,14988,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.008,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_63.2022_PRRT_smaltalign_genome",479475,265439,265439,108858,22.7,89316,18.63,9670,2.02,0,0,15013,100,100,100,108560,22.64,89020,18.56,9706,2.02,0,0,14988,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108550,0,0,422020,308,0.994077,0.998366,0.991883,0.997481,0.995114,940.2,6.94," 6;14.83",1425768,1421720," 252%"
"V2.277","SSNGS_HUN_PRRT","SSNGS_63.2022_PRRT",1013,NA,"viralngs_genome",1,1,0,0,0,0,1012,1012,0,0,0,0,1,1012,1012,1013,37.95,38.01,1012,1012,1012,1012,1012,1011,1,1,1,1,484222,265439,265439,19.43,22.64,14.97,18.56,12997,14988,88.93,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,86.866,1.005,12252.96,114.03,0,877,877,"877","877","-","-",760,759.3,"1","1","-","-","SSNGS_HUN_PRRT_SSNGS_63.2022_PRRT_viralngs_genome",484222,265439,265439,94092,19.43,72510,14.97,12916,2.67,0,0,12997,88.93,88.93,88.93,108560,22.64,89020,18.56,9706,2.02,0,0,14988,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,124,94089,0,0,436786,3,0.908193,0.990619,0.857143,0.987406,0.91906,847.35,26.15," 4;39.94",965468,6405208," 312%"
"V2.377","SSNGS_HUN_PRRT","SSNGS_63.2022_PRRT",1013,NA,"vpipe_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,37.91,38.01,1013,1013,1013,1013,1013,1013,1,1,1,1,479475,265439,265439,22.7,22.64,18.63,18.56,15013,14988,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.008,0,0,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_63.2022_PRRT_vpipe_genome",479475,265439,265439,108858,22.7,89316,18.63,9668,2.02,0,0,15013,100,100,100,108560,22.64,89020,18.56,9706,2.02,0,0,14988,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108549,0,0,422020,309,0.994077,0.998366,0.991883,0.997481,0.995114,32801.15,7077.17," 2;54;13",1359424,18274264," 381%"
"V278","SSNGS_HUN_PRRT","SSNGS_64.2018_PRRT",1013,NA,"shiver_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,36.13,35.98,1013,1013,1013,1013,1013,1013,1,1,1,1,359873,235608,235608,47.81,47.81,37.74,37.74,23787,23767,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.004,0,987.17,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_64.2018_PRRT_shiver_genome",359873,235608,235608,172058,47.81,135810,37.74,18360,5.1,0,0,23787,100,100,100,172057,47.81,135812,37.74,18357,5.1,0,0,23767,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,172023,0,0,299158,35,0.975321,0.992126,0.96,0.991803,0.975799,1966.51,29.66," 31;49.87",1545104,7915776," 104%"
"V2.178","SSNGS_HUN_PRRT","SSNGS_64.2018_PRRT",1013,NA,"smaltalign_genome",1,1,0,0,0,0,1013,1013,0,0,0,0,1,1013,1013,1013,36.13,35.98,1013,1013,1013,1013,1013,1013,1,1,1,1,359876,235608,235608,47.81,47.81,37.73,37.74,23785,23767,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.004,0,987.17,0,1013,1013,"1013","1013","1013","1013",1013,1013,"1","1","1","1","SSNGS_HUN_PRRT_SSNGS_64.2018_PRRT_smaltalign_genome",359876,235608,235608,172047,47.81,135790,37.73,18369,5.1,0,0,23785,100,100,100,172057,47.81,135812,37.74,18357,5.1,0,0,23767,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,172016,0,0,299169,31,0.984205,0.990366,0.979048,0.989754,0.984674,1124.67,7.51," 8;15.89",1425832,1359824," 228%"
